"address","dateOfPosting","status","numberOfLikes","numberOfBathroom","numberOfBedroom","homeValue","sqft","streetName","cityName","stateName","zipCode","homeImage"
"1 Cartwright Park","2018-08-25T22:21:10.925Z","SOLD",15,1,1,1894964,3986,"7281 Osborne Underpass","Rockville","MD",20857,"hi"
"2 Cartwright Park","2018-10-03T15:50:25.018Z","FORECLOSURE",176,4,2,3255511,2051,"626 Daphne Inlet","Rockville","MD",20853,"hi"
"3 Cartwright Park","2018-06-03T19:28:15.000Z","OFF MARKET",76,3,0,1650469,3062,"55608 Adan Wall","Rockville","MD",20854,"hi"
"4 Cartwright Park","2018-09-14T13:37:57.355Z","FORECLOSURE",103,2,2,3380020,2913,"55836 Hirthe Shoals","Rockville","MD",20848,"hi"
"5 Cartwright Park","2018-07-18T10:43:28.445Z","OFF MARKET",189,3,9,1068551,3202,"1009 Morar Estate","Rockville","MD",20852,"hi"
"6 Cartwright Park","2018-06-18T06:49:40.809Z","FOR RENT",192,2,6,3645864,1426,"248 Eichmann Roads","Rockville","MD",20847,"hi"
"7 Cartwright Park","2018-09-30T15:59:27.472Z","FORECLOSURE",4,3,4,1919322,3861,"4975 Medhurst Island","Rockville","MD",20851,"hi"
"8 Cartwright Park","2018-08-02T21:12:10.308Z","FORECLOSURE",187,0,2,1600483,1771,"948 Graham Lock","Rockville","MD",20850,"hi"
"9 Cartwright Park","2018-06-21T10:23:01.821Z","OFF MARKET",1,2,5,2915658,2278,"01179 Garland Estate","Rockville","MD",20849,"hi"
"10 Cartwright Park","2018-06-19T23:26:53.435Z","AUCTION",50,4,7,1127756,3820,"229 Marlee Pike","Rockville","MD",20857,"hi"
"11 Cartwright Park","2018-07-18T09:00:17.958Z","SOLD",107,1,6,255121,1444,"987 Jammie Valley","Rockville","MD",20853,"hi"
"12 Cartwright Park","2018-09-12T07:34:39.298Z","FORECLOSURE",116,1,8,3892360,913,"17452 Sauer Oval","Rockville","MD",20847,"hi"
"13 Cartwright Park","2018-07-28T08:44:59.954Z","SOLD",119,3,3,1348964,711,"995 Kaleigh Islands","Rockville","MD",20853,"hi"
"14 Cartwright Park","2018-05-19T12:41:55.127Z","FOR RENT",23,0,9,170831,3805,"5777 Boyer Circle","Rockville","MD",20854,"hi"
"15 Cartwright Park","2018-09-21T00:17:42.213Z","OFF MARKET",136,4,8,1408846,3423,"175 Kathleen Groves","Rockville","MD",20850,"hi"
"16 Cartwright Park","2018-09-28T01:10:45.659Z","SOLD",32,4,1,1410733,1681,"99419 Heller Mountain","Rockville","MD",20849,"hi"
"17 Cartwright Park","2018-06-18T06:29:09.539Z","FOR SALE",30,0,2,1226743,509,"4735 Kariane Vista","Rockville","MD",20851,"hi"
"18 Cartwright Park","2018-07-02T23:25:49.841Z","AUCTION",124,3,7,662776,1560,"4800 Amelia Viaduct","Rockville","MD",20851,"hi"
"19 Cartwright Park","2018-07-15T08:16:28.694Z","FOR RENT",96,4,1,3992618,1169,"4955 Hayley Forges","Rockville","MD",20848,"hi"
"20 Cartwright Park","2018-05-01T05:40:49.979Z","FOR RENT",59,4,0,3449949,1043,"078 Jerome Plains","Rockville","MD",20849,"hi"
"21 Cartwright Park","2018-06-04T09:58:45.081Z","FOR SALE",21,4,10,2443678,1021,"2014 Cade Coves","Rockville","MD",20851,"hi"
"22 Cartwright Park","2018-05-26T11:37:38.354Z","AUCTION",131,0,8,921186,2575,"3579 Ilene Underpass","Rockville","MD",20850,"hi"
"23 Cartwright Park","2018-05-28T21:44:23.218Z","SOLD",164,0,4,3796109,2619,"5437 Fay Fall","Rockville","MD",20857,"hi"
"24 Cartwright Park","2018-05-10T06:19:03.701Z","FOR RENT",196,0,0,3697829,3423,"342 Stanton Summit","Rockville","MD",20847,"hi"
